Username,Profile Age,Profile Description,Usage Period,Purchase Point,Stars,Recommend,Review,Status
Hanifahalpacino,19 - 24,"Oily, Medium, Neutral",1 week - 1 month,Shopee,5,Ya,"Aghhh bagus banget moist skintific tuh, bener bener bisa benerin skinbarrier kita gitu loh, ringan juga dipakenya, bagus top banget, ga akan nyesel si beli ini, tapi kalian harus cari yang ori yah, awas hati hati ada yang palsunya kan jadi sayang",Asli
Kirka,30 - 34,"Dry, Medium, Neutral",More than 1 year,FD Flash Sale,5,Ya,Udah pake selama 1tahun lebih pake moist ini.. Suka banget pake ini menyegarkan kulit wajah banget... udah pake semua product juga dari ini... enak dipakai pokonya ni product recomended banget.. tuk dipake sehari2 bkin kulit jadi tetap lembab kenyal cerah.. size besar pulaaa...,Asli
hamaiwoo,18 and Under,"Combination, Medium Light, Neutral",1 week - 1 month,Shopee,5,Ya,"lembab bgt, ringan juga, cocok buat kulit kering, di dapetinnya gampang, enak banget si di pakenya ðŸ«¶ðŸ», cuma agak mahal untuk anak sma seperti aku uwehehehe, ini jg bisa di gabungin sama bahan"" aktif lainnya jadi lebih sering kepakai loffloffðŸ˜˜",Asli
ikawahyuni17,30 - 34,"Combination, Medium Light, Neutral",Less than 1 week,Shopee,5,Ya,Moisturizer Yang nampol banget di muka apalagi kondisi muka aku yg gampang banget jerawatan sensitif oily bisa banget buat ngecover semuaitu mana harganya juga masuk banget kantong suka bangetpokok ya sama moisturizernya satu ini hehehe,Asli
annisataz_,19 - 24,"Combination, Medium, Neutral",3 months - 6 months,Brand Website,5,Ya,"bagus banget melbabkan banget, dan memperbaiki skin barrier, suka banget sama produknya ga berbaauu, lembut dan bikin kulit kadi bagus, pemakaianrutin bikin kulit jadi lebih cerah love bangetttt, sangat amat recomended bagus bagi pemula",Asli
elisabethendryani,25 - 29,"Combination, Medium Dark, Warm",More than 1 year,Tiktok Shop,5,Ya,"Udah habis ber-jar2 untuk skintific moisture gel, sesuka itu karena junur ini moisture yang aku suka, gel tapi tidak oily. Sifatnya watery, bikin lembab kulit dan dingin dipakai, setelah pakai itu lembab banget dan kulit terasa sehat, ga akan bosen pakai skintific ini",Asli
Francaiscca,25 - 29,"Combination, Light, Neutral",1 month - 3 months,Shopee,4,Ya,"packagingnya kayak moist biasanya, agak tricky dan kurang higienis tapi moisturizer viral ini emg worth the hype sihhh teksturnya enak gampang menyerap dan gaada bau yg mengganggu sama sekali.. minusnya cuma cepet bgt abisnya tpi sisanya oke",Asli
Strawbilaw,19 - 24,"Normal, Medium, Neutral",6 months - 1 year,Shopee,5,Ya,"Suka bangett pake inii, wajah jadi lembutt banget, dan gabikin kulit kusam, udah repeat order berapa kali, dan kulit jadi kenyal banget, membantu banget buat kulit aku yang kering ini, dan bagus banget buat di beli lagi, next bakalan beli lagi",Asli
ysntaayni,19 - 24,"Combination, Medium Light, Neutral",1 month - 3 months,Shopee,5,Ya,"Ini first time pakeee dan nyoba sih wkwkw, teruss pas dicoba bener2 enakkk. Karena basic muka aku kering dan ini bener2 kaya memperbaiki skin barrier aku, kek nya ini moiss yang cocokk tapi ya harganya ada mahilssss wkwkwkwk. Tapi ini beneran recommend buat memperbaiki skin barrier",Asli
ayurmdhnty,25 - 29,"Combination, Medium Light, Warm",1 week - 1 month,Shopee,5,Ya,"Moisturizer yang paling bagus di kulitku, teksturnya ringan gel dan pastinya ngga lengket. Langsung menyerap, banyak diskon di e commerce juga dan lumayan awet 1 jar buat 1 bulan. Ngga ada wangi juga cocok buat kulit normal to combination",Asli
Allicia_Putri,18 and Under,"Combination, Medium Light, Cool",1 month - 3 months,Shopee,5,Ya,"moisturizer nya bagus banget, menghidrasi kulit, harga nya terjangkau, ga terlalu berat di pake, kemasan nya bagusss, gampang di bawa kemana mana, selalu jadi moisturizer favorite, bakal aku beli lagi dan rekomendasi banget buat kulit kombinasi",Palsu
sasmut,25 - 29,"Normal, Medium, Neutral",1 week - 1 month,Shopee,5,Ya,"pengalaman aku memakai moisturaizer dari brand skintific itu membuat kulit wajah aku menjadi lebih halus dan tidak kering lagi karna aku diruangaj ber AC , bruntusan aku memudar dan cocok juga dijadiin skin prep sebelum make up dan memakai mois ini menjadi lebih lembab",Asli
dindaavp,19 - 24,"Oily, Medium, Neutral",3 months - 6 months,Shopee,5,Ya,"Ini jugaa bagus banget huhu buat kalian yang kulitnya lagi sakit sakitan alias kering, kusam, ada redness, darkcircle di bawah mataa. Karena dia tu mengandung seramide yang bisa memperbaiki skinbarrier kitaa jadi ini juara banget sih!!",Asli
bbhkji_,19 - 24,"Oily, Medium, Warm",3 months - 6 months,Female Daily Studio,5,Ya,"ini sih bagus pake banget di kulit yang kayak aku, pake moisturizer lain ga ngaruh di kuli tebel aku, ini cocok banget buat kulit tebel beneran se ngaruh itu di pakenya dan dia ringan banget juga di pake ny, bisa di beli di onlinestoremaupun di offline",Asli
erputcantik,19 - 24,"Oily, Medium, Neutral",3 months - 6 months,Shopee,5,Ya,"Pertama kali coba moist ini langsung jatuh cinta si haha karna emang melembabkan kulit aku banget dan bikin skin barier jadi kuat jd ga gampang jerawatan, bekas jerawat juga memudar pakai ini, aku bakal repurchase lagi si",Asli
chachachabs,30 - 34,"Combination, Medium, Neutral",3 months - 6 months,Shopee,5,Ya,"Mencoba ini karena mau ngebenahin skin barrier.Sebelumnya kulitku kering banget dan sering beruntusan.3 bulan lebih pakai ini, muka ku lumayan jadi lebih lembab.Dan makin jarang jerawatan.Tekstur nya lembut dan cepet meresap ke kulit.",Asli
syifaasdrn,19 - 24,"Oily, Medium Light, Neutral",Less than 1 week,Shopee,5,Ya,Ini gausah diraguin! Moisturizer ter aman buat semua jenis kulit. Di kulit oily ku juga masih oke banget ga bikin greasy. Awalnya keracunan orang orang dan ternyata emang sebagus ituuu! Nyesel baru nyobain sekarang. Repurchase? Ofc! Recommended,Asli
Lilian24,25 - 29,"Combination, Medium Light, Neutral",1 month - 3 months,Tiktok Shop,4,Ya,Termasuk moisturizer yang gampang diserap. Melembabkannya juaraaa. Bikin kulit kering jadi seger lagi. Untuk kulit yang sensitive atau meradang recomend siii pake ini. Walaupun harganya lumayan ya tapi isinya banyak bisa dipake 2 bln,Asli
lilika,25 - 29,"Combination, Light, Neutral",6 months - 1 year,Whatsapp,5,Ya,"super ringan di kulit aku, bantu banget calming kulit aku yang kemarin sempet kering, aku selalu pakai ini sebelum make up, dan bantu banget buat make up aku jadi lebih nempel dan tahan seharian, make up jadi ga cakey dan hasilnya bagus banget",Palsu
silviaawln,19 - 24,"Combination, Medium, Neutral",6 months - 1 year,Shopee,5,Ya,"moisturaizer yang teksturnya gel transparan gampang banget meresap, gak lengket, dan mouisturaizer terviral pada masanya yang viralnya memang beneran bagus, sampe repurchese 3 kali karna memang sebagus itu, anw moisturaizer ini cocok banget buat kalian yg pertama kali nyoba pake retinol karna ditumpuk pake moisturaizer ini jadi calming bangett",Asli
faizahdinar,25 - 29,"Combination, Medium Light, Neutral",More than 1 year,Shopee,5,Ya,"suka benget sama moiturizer ceramides dari skintific ini.. udah repurchase berkali kali.. teksturnya kaya gel gitu.. bisa dipake buat siang dan malam.. melembabkan kulit, dan membuat kulit jadi terhidrasi.. bisa memperbaiki barrier kulit juga..",Asli
Latifah_Azfa,19 - 24,"Dry, Medium, Warm",1 month - 3 months,Shopee,4,Ya,"Aku udah pemakaian hampir 2 bulan, sejauh ini cocok lembapin kulit aku yang super kering. Teksturnya nyaman mudah meresap. Setelah ganti ke produk skintific bundling 5x ceramide bikin kulitku cerah dan ga kusam, paling penting untung ga beruntusan dan kalo lagi menjelang mens jerawat juga dikit. Jujur ini produk awet banget ga habis, kita liat hasilnya sampai habis dan pengen puchase lagiðŸ¥°",Asli
khrnsmydn,25 - 29,"Oily, Medium Light, Neutral",Less than 1 week,Shopee,5,Ya,"moisturizer pertamaku selama ku hidup dan ya langsung cocok dimuka ku yang sangat amat sensitif ini, memperbaikin skin barrier dan muka sangat jadi lembab, adikku make juga dan dia cocok sekali dengan produk ini, udah habis 10 botol lebihðŸ˜‚",Asli
yelikaputri,19 - 24,"Combination, Medium Light, Neutral",1 week - 1 month,Shopee,5,Ya,"bagus banget setelah pake pakai ini beberapa minggu keliatan banget hasilnya kulit ku jadi lembab dan kenyal banget ga nyesel sih beli moisturazer ini emang sebagus itu ternyata dikulit bikin kulit halus juga dan bikin kulit glowing, meredakan jerawat juga",Asli
margarettadian,19 - 24,"Combination, Medium Light, Neutral",More than 1 year,Shopee,5,Ya,"super ringan di kulit aku, bantu banget calming kulit aku yang kemarin sempet kering, aku selalu pakai ini sebelum make up, dan bantu banget buat make up aku jadi lebih nempel dan tahan seharian, make up jadi ga cakey dan hasilnya bagus banget",Palsu
faraolivia26p,19 - 24,"Dry, Medium, Neutral",3 months - 6 months,Tiktok Shop,4,Ya,"salah satu moisturizer yang okeee dengan harga yang cukup affordable. cepet meresapp jugaa jadi gak susah2 nunggu lama2 gitu. ada finish glowingnya jugaa, bagus pol buat yg skin barriernya rusakk atau bermasalahh. rating dari aku 8.5/10!ðŸ¤",Asli
Adeabigail159,25 - 29,"Normal, Medium, Neutral",3 months - 6 months,Instagram,5,Ya,"Produknya bagus, cocok buat kulit, lembut, terbaik pokonya.Produknya bagus, cocok buat kulit, lembut, terbaik pokonya.Produknya bagus, cocok buat kulit, lembut, terbaik pokonya.Produknya bagus, cocok buat kulit, lembut, terbaik pokonya.",Palsu
Rafarachma24,25 - 29,"Oily, Medium Light, Cool",1 month - 3 months,Instagram,5,Ya,Varian barrier moist bener-bener ampuh dan bagus banget buat muka aku yang kering dan berjerawat ini. Produknya juga bikin jerawat aku berkurang dan bikin lembab gitu. Wanginya juga enak. packingnya simple tapi mewah. Sangat worth it banget,Asli
kezia__,19 - 24,"Combination, Medium Dark, Cool",6 months - 1 year,Tokopedia,5,Ya,"Teksturnya ga lengket, sangat watery, ga mengganggu make up jadi nyaman, aroma tidak terlalu menyengat, trus packagingnya juga kecil jadi nyaman dibawa Travellingsangat bisa memperbaiki skin barrier yang rusak jadi akan selalu beli terus.",Asli
ristindwi,19 - 24,"Oily, Medium, Neutral",More than 1 year,Shopee,5,Ya,Moisturizer termantul yang pernah saya pakai digunakan nya juga enak dan cepat meresap di kulit. Dan saya udah pakai 1 tahun lebih bekas herawat dikii demi sedikit memudar dan malahan hilang. Produk mois yang paling rekomended banget untuk digunakan dari kalangan remaja maupun dewasa,Asli
fannyfida,19 - 24,"Combination, Medium Light, Warm",1 week - 1 month,Shopee,5,Ya,Aku suka banget sama mosturizer ini. Buat kulit aku yg kering jadi terhidtasi dengan baik. Apalagi kalau dipakai malam hari besok paginya kulit aku jadi bagus gitu dan kalau sebelum makeup jadi makeup aku lebih flawless ga crack dan tetep aman,Asli
ulala_aa,18 and Under,"Dry, Light, Cool",More than 1 year,Shopee,5,Ya,"ini salah satu moist yang cocok dimuka ku yang kulitnya kering udah coba brand lain tapi tetep balik lagi ke ini, dia itu tipe yang gampang diblend, dia ga terlalu cair atau thick gitu teksturnya makanya enak buat dipake. dipake buat jadi base makeup juga oke",Asli
Saniya06,19 - 24,"Oily, Medium, Neutral",1 month - 3 months,Brand Website,5,Ya,Cocok banget untuk kulit yang breakout parah pemakaian 3 cup bikin kulit wajah jadi lebih membaik dan tidak breakout lagi selalu suka sama produk skintfic terutama moisturizernya suka banget nggak adabyanh gagal sih produknya muka aouto glowing,Palsu
dheadenta,19 - 24,"Normal, Medium, Neutral",1 month - 3 months,Shopee,5,Ya,Tekstur moisruraizer ringan banget. Waktu di blend langsung mencair gitu dan ceper meresap ke muka. Walaupun kulit oily tp ga bikin muka berminyak. Setelah dipake muka jadi lebih kenyal dan glowing. Harga agak mahal tapi karna bisa dipake beberapa bulan jadi tetep worth to buy!!,Asli
nisarukmana26,25 - 29,"Oily, Medium Dark, Neutral",3 months - 6 months,Shopee,5,Ya,"Selalu suka sama skintific skincare penolong untuk muka breakout parah jadi lebih sehat dan bagus, semua produk juga bagus bangetTerlihat jelas setelah pemakaian 3 cup muka benar benar sehat bagus dan tidak breakout lagi suka banget love",Palsu
rahmanis_23,19 - 24,"Oily, Medium, Neutral",1 week - 1 month,Shopee,5,Ya,"Skin barrier aku jadi membaik, gaada efek jangka panjang kulit lebih sehat dan lembab suka karna harga terjangkau, mudah didapatkan dan pastinya sudah bpom sudah teruji juga jadi ini recomennded deh buat kalian coba, perubahan 2minggu pemakaian",Palsu
silviadevi91,30 - 34,"Combination, Medium, Neutral",More than 1 year,Shopee,5,Ya,Moisteraiser yang satu ini bener-bener juara girls....kandungannya bikin kulit termoisteraise dan juga bisa bikin skin barrier jadi lebih baik. Cocok bangetbuntuk kita kita yang pengen punya kulit yg plumpy kaya onni onni korea...hihihi,Asli
Rimafadila25,19 - 24,"Dry, Light, Cool",1 month - 3 months,Shopee,5,Ya,"Diskon menarik menarik untuk brand skintific ini, pemakaian nyaman . apalagi ceramide barrier ini, ngelembabib muka aku yang keringgggg paraaah . pemakaian dua bulan udah keliatann perubahannya. rekomendasi banget buat yang baru mau coba",Asli
janeelvaa,19 - 24,"Combination, Medium Light, Cool",3 months - 6 months,Shopee,5,Ya,sumpah ini salah satu moist yang wajib di stok apalagi kulit ku acne prone to sensitive skin sih bagus banget pake ini soalnya calming nya jago banget belum dpt moist yg lain sih ini harganya juga okelah dan menurutbaku mendingan sekalian beli yang gede!,Asli
diyahmrdht,19 - 24,"Oily, Medium, Neutral",1 month - 3 months,Shopee,5,Ya,"Very light, watery, smooth, and mosturizing for skin. Recommended for sensitive and normal skin. Get your 5X ceramide Barrier Repair Moisture Gel Moisturizer in the neerest store. Gunakan sesuai prosedur cara pakai yang tertera di kemasan produk",Palsu
cxzhwa_19,19 - 24,"Oily, Medium Dark, Warm",3 months - 6 months,Shopee,5,Ya,"Aku cocok banget pake ini, my daily routine skincare. Teksturnya enak nyaman, ga lengket, dan ringan. Kalo dipake malem, pas bangun sih aku ngerasa lebih cerahan gituu, glowing cantik euy jadi seneng pas ngaca! Udah selalu repurchase sih aku setiap habis pasti beli lagii!!",Asli
vioallday,19 - 24,"Oily, Light, Cool",More than 1 year,Shopee,5,Ya,"aku udah pake product ini dari kulit aku masih rusak dan jerawatan parah, karena dia ada kandungan ceramide jadi moisturizer ini sangat membantu untuk menyembuhkan skin barrier kita, teksturnya yang creamy dan watery jadi gak butuh ambil banyak product",Asli
alifiarahmani,19 - 24,"Combination, Medium, Neutral",More than 1 year,Tiktok Shop,5,Ya,"bener bener bisa ngelembabin muka pol. bikin skinbarier ku membaik dan mulus. minim beruntusan, ga kusam, lembut, dan pagi pagi mukaku jadi cerah. teksturenya juga bikin fresh dan relaxing. love it. love skintific. bakal terus repurchase",Asli
burairohanisa,19 - 24,"Combination, Medium, Neutral",More than 1 year,Female Daily Studio,5,Ya,"skintific ceramide barrier merupakan produk skincare yang membantu memperbaiki kulit kering dan sensitif. dan juga dapat membantu menjaga kelembapan kulit dan memperbaiki tekstur pada kulit aku. dengan hal ini, skincare skintific ceramide barrier merupakan merek yang ternjangkau dengan kualitas yang baik.",Palsu
Hikhmayani,25 - 29,"Dry, Medium Light, Neutral",More than 1 year,Shopee,5,Ya,"Sudah menggunakan skintific ini lebih dari 1 tahun. Karna sangat cocok dikulit saya yang normal to dry. Di kulit berasa ringan dan cocok. Sangat membantu menghilangkan bruntusan di wajah saya.Untuk harga nya Worth it dengan banyak manfaatnya dan ada berbagai ukuran jadi memudahkan jika ingin traveling,",Asli
Nalthss_,19 - 24,"Combination, Medium, Neutral",1 week - 1 month,Shopee,5,Ya,mousturizer ini termasuk yang ringan dan cepat dimuka tetapi efek melembabkannya dapat bangett. dan dia cukup membantu untuk memperbaiki skin barrier apabila muncul redness setelah pemakaian retinol/ exfoliant products,Palsu
ZahraNadyya,19 - 24,"Combination, Medium, Neutral",More than 1 year,Shopee,5,Ya,"Pertama kali pake moisturizer ini, setelahnya bikin kulit wajah lembap banget sampai besok pagii, dan komedo disekitar hidung tuh yang awalnya banyak, jadi berkurang, dan pori pori jugaa yang awalnya besar jadi mengecil, dan setelah beberapa bulan pemakaian hasilnya signifikan bangett memudarkan bekas jerawattt, pokoknyaa wajib buat dicobaa",Asli
meitaa_m,25 - 29,"Normal, Medium, Neutral",Less than 1 week,Female Daily Studio,5,Ya,"Produk ini sangat bagus dikulit saya, dapet mereda kan jerawat, kemerahan, membuat kulit saya lebih cerah, tidak kusam produk ini sangat bagus saya sudah order beberapa saking bagusnya dikulit saya dan sangat bantu mencerahkan sekali top deh",Asli
Mooon,19 - 24,Unknown,3 months - 6 months,Tiktok Shop,5,Ya,"Very light, watery, smooth, and mosturizing for skin. Recommended for sensitive and normal skin. Get your 5X ceramide Barrier Repair Moisture Gel Moisturizer in the neerest store. Gunakan sesuai prosedur cara pakai yang tertera di kemasan produk",Palsu
krnamalia,19 - 24,"Combination, Dark, Warm",More than 1 year,Shopee,5,Ya,"Ga tau udah berapa kali repurchase moist nya skintific. Dia ringan tapi tetep terasa melembabkan. Untuk kulit oily kaya aku, dia tetep bisa control minyak di wajah. senyaman ituuu love bangett sangat rekomen si.",Asli
szsenglon_,18 and Under,"Combination, Light, Cool",1 month - 3 months,Tiktok Shop,5,Ya,"sumpah, moist skintific aku uda abis 5-10 jar beneran ga boong, bagus banget sih enteng di muka juga, banyak variannya juga dr skintific ada yang buat acne, brightening dll, kalian kalo mau beli, lewat aplikasi ataupun offline juga banyak sih, ily skintific",Asli
mermeril,25 - 29,"Combination, Medium, Warm",6 months - 1 year,Shopee,5,Ya,"Aseli ini moisturizer ter the best bagiku karena dari muka ku banyak masalah setelah pake ini tuh jadi enak banget mukanya, termoist jerawat jarang muncul dan yang pasti produk skintific ini bisa membantu merawat kulit kita agar tetap terhidrasi dan skin barrier tetap terawat. Ter the best",Asli
makhdiana,19 - 24,"Combination, Medium Light, Neutral",More than 1 year,Shopee,5,Ya,"moisturizer skintific andalan bgt kl kulit lg rewel, teksturnya gel cepat meresap ke kulit, aromanya tidak menyengat dan harganya affordable di kantong pelajar, udah pakai dari 2023 dan sampai sekarang masih jadi moisturizer andalanðŸ™ŒðŸ»",Asli
Snabilaazhr,19 - 24,"Oily, Medium, Neutral",3 months - 6 months,Shopee,5,Ya,"Enak dipakenya, walaupun agak sedikit lengket tapi tekstur nyaa gel, jadii cepat mereesap di kulit. Bikin kulit lembap dan halus. Tapi untuuk isi nyaa agak kurangg banyaak, terlaluu gede tempat :) So far bagus si untuk kulit ku yg berminyak",Asli
daradeola,19 - 24,"Dry, Medium, Neutral",3 months - 6 months,Shopee,5,Ya,"Bena benar berpengaruh untuk kulit aku yg sangat kering memakai ini kulit terasa lebih lembab glowing dan mencerahkan kulitku juga , sangat recommended kulit terasa seperti healthy skin dan glowing skin juga baguss bangett , bisa utk memperbaikin skin barier jg",Asli
Lindamrgth,19 - 24,"Oily, Dark, Cool",1 week - 1 month,Female Daily Studio,5,Ya,"Moisturizer favorit aku sukak banget deh karena teksturnya lembab dan mudah menyerap di kulit, ga bikin iritasi dan bagus banget buat dipakai sehari hari, kalo rutin make bisa mencerahkan juga dan gampang buat dibawa kemana mana, dan yang paling penting kandungan ceramide untuk memperbaiki skin barrier",Palsu
sasachnsaa,25 - 29,"Combination, Medium, Warm",1 month - 3 months,Shopee,5,Ya,"Kayaknya produk ini udah gausah dikasih review lagi deh hahaha soalnya hampir semua orang cocok pake ini, bagus bangett banget banget deh bikin skin barrier membaik kulit jadi kenyal banget dan sehat pokoknya siapapun wajib beli ini yaa guys",Asli
julisadoank,35 - 39,"Oily, Medium Light, Cool",6 months - 1 year,Shopee,5,Ya,"Moisturaiser nya bagus banget, muka jadi super kenyal banget pakai ini, gak lengket di kulit pada saat pemakaiann, langsung meresep ke kulit, recomended banget barangnya ini super duper bagus, buat yang blm coba wajib banget coba ini product",Asli
anisyamaura,19 - 24,"Combination, Medium, Neutral",1 week - 1 month,Shopee,5,Ya,"Keren bangetttt moisturizernya, kulit aku yang awalnya beruntusan jadi lebih membaik. Mengatasi masalah skin barrier yang rusak sehingga membuat kulit wajah jadi mulus dan halus. Harus bangettt kalo habis repurchase karna emang sebagus itu hasilnya",Asli
chocotaby,35 - 39,"Oily, Medium Light, Warm",6 months - 1 year,Shopee,5,Ya,"Moisturizer ini holygrail sudah berkali kali repurchase. Secara tekstur kekentalannya pas, tidak cair tidak terlalu kental. Diaplikasikan juga cepat menyerap. Untuk kulit oily ini juga cocok bgt.Tidak bikin oily berminyak setelah pemakaian",Asli
Zeanvenna13,19 - 24,"Normal, Medium, Neutral",1 week - 1 month,FD Flash Sale,5,Ya,"Bagus banget warna nya, ringan di bibir dan harganya terjangkau, cocok untuk daily, gak buat bibir jadi kering, wangi nya enak jadi nyaman banget pas dipakai,, transferproof tahan lama memang hanasui tidak pernah mengecewakan bakalan repeat order lagi nantinya",Palsu
YandaF15,19 - 24,"Normal, Light, Neutral",1 month - 3 months,Instagram,5,Ya,Bagus banget produknya aku jadi pakai setiap hari dan efeknya cukup terasa. Awalnya agak takut untuk pakai tapi ternyata bagus banget dan jadi gak mau coba pakai produk lain. Pokoknya bagus banget produknya dan semoga banyak diskonnnnnn,Asli
Mariyaulfah10,19 - 24,"Combination, Medium, Warm",3 months - 6 months,Tiktok Shop,5,Ya,Salah satu produk yang viral di tiktok sampai selalu ada dimana mana. Moisturizer ini cocok untuk kulit normal ataupun kombinasi dan kering. Wajib banget cobain. Better pake ukuran yang 80ml lebih murah jatuhny. Dan awet sampe berbulan bulan lamanya,Asli
rifka58,19 - 24,"Combination, Medium, Cool",1 month - 3 months,FD Try and Review,5,Ya,"tesktur water creamy,mudah meresap ringan,adem banget dikulit,meredakan kemerahan dan memperbaiki skin barier,cocok banget untuk kulit kering,berminyakdan berjerawat,pokonya love bgt sama moisturizer ini................ðŸ¤",Asli
oktasw,25 - 29,"Combination, Medium, Neutral",6 months - 1 year,Shopee,5,Ya,"Moisturizer Skintific yang 5x Ceramide ini salah satu moisturizer terbaik juga. Melembapkan sudah pasti, skin barrier pasti langsung membaik banget kalau pakai ini. Pokoknya ini cocok digabung sama semua step skincare apapun, kalau cari moisturizer yang memperbaiki skinbarrier ini jawabannya",Palsu
syansarmila,19 - 24,"Oily, Light, Neutral",6 months - 1 year,Shopee,5,Ya,"Produk ini membantu melembabkan kulit wajah saya. Walaupun tipe kulit saya itu oily, tetapi produk ini sangat cocok. Selain itu dapat membantu untuk memudarkan bekas jerawat. Awalnya saya takut untuk mencoba karna takut ga cocok tetapi setelah mencobanya jadi ketagihan!!",Asli
andrynd,19 - 24,"Dry, Medium, Neutral",3 months - 6 months,Guardian,5,Ya,"Salah satu moisturizer yang bikin aku terus repurchase â¤ï¸â¤ï¸ Suka banget karena ga bikin muka jadi oily, apalagi dikulitku yang kering, moisturizernya ngejaga kelembaban kulit. Yang aku rasain setelah pemakaian jangka panjang, tekstur kulit bener-bener much better !!",Asli
SalwaMaliya20,19 - 24,"Oily, Medium, Neutral",3 months - 6 months,Shopee,5,Ya,"awalnya coba karena banyak review bagus, ternyata bener bener bagus. wajah jadi lembab dan sangat cerah karena memakai moist skintific. Sangat cocok di wajah saya Melembabkan nya selama seharian dan karena itu sangat bagus. Wajib pakai",Asli
bunanin,25 - 29,"Oily, Medium, Warm",3 months - 6 months,Shopee,5,Ya,"awalnya iseng karena lagi promo , eh ternyata cocok, kulit aku yang oily, bruntusan, dan banyak bekas jerawat kemerahan jadi perlahan-lahan mereda, di bulan ke 2 sempet pindah ke krim dokter karena sekalian treatment, ternyata ga cocok dan balik lagi ke skintific, kulitku membaik lagi, suka bangeet",Asli
azukiyaa,25 - 29,"Combination, Medium, Neutral",More than 1 year,Shopee,5,Ya,"Kalau Moisturize ini gak perlu ditanya ya udah viral banget dimana mana dan yang pasti bikin kulit kita repair banget dan jadinya lembut halus dan cinta banget sama hasil nya. Pakai nya harus rutin supaya hasil nya maksimal ya, gak akan nyesel deh pake ini.",Asli
arasetyawati,30 - 34,"Combination, Medium Light, Neutral",3 months - 6 months,Shopee,5,Ya,"Moisturizer yg udah repurchase berkali2! Enak bgt di muka aku, teksturnya ga lengket, cukup cepat nyerap ke kulit. Sblm pake moisturizer skintific aku pake serum dulu~ gausah pake banyak2, secukupnya aja udah ke cover semua area muka. udahlah ga akan ke lain hati~",Asli
Safiraninda,25 - 29,"Combination, Medium, Warm",3 months - 6 months,Shopee,3,Tidak,"Sempat ekspektasi tinggi sama produk ini karena dapet beberapa penghargaan dan harganya juga ga murah. Tapi ternyata setelah pemakaian 2 botol biasa aja sih, ga berasa lebih lembab, ga berasa perbedaan intinya. Lebih ke pelembab sehari-hari buat kulit normal tanpa problem ajasih menurutku",Asli
Raraqum,19 - 24,"Oily, Medium, Warm",1 month - 3 months,Shopee,5,Ya,"baru beberapa bulan pake, tapi udah keliatan banget hasilnyaaaa masya allah!! aku bakal repurchase terus insya allah! bagus bangetttt, aku rekomendasiin ke semuaaaa temen temen kantorrrr kuuu, aku racunun karna emang sebagus itu woiiiii",Asli
nithakeikha,30 - 34,"Combination, Medium, Neutral",6 months - 1 year,Shopee,5,Ya,mouisturizernya lembut banget cocok di wajah aku aku suka banget sma skintific setiap hari siang pagi malam selalu pakai ini kalian kalau mau pakai juga tersedia di tokopedia shopee lazada dan ini tasya farasya aprove ini bikin lembab dan glowing,Asli
Syifa070898,25 - 29,"Combination, Light, Neutral",3 months - 6 months,Official Brand Store,5,Ya,"Kulit terasa jauh lebih lembab, tidak membuat perih atau menjadi luka, membuat kulit terasa lebih sehat dari sebelumnya, saya sangat suka produk ini karena membantu kulit saya menjadi lembab kembali dan terlihat sehat dan mencerahkan kulit",Asli
sekarayuarumsasi,25 - 29,"Combination, Medium, Neutral",6 months - 1 year,Shopee,5,Ya,"Beli ini karena banyak yang cocok, dan ternyata cocok di kulit aku yang normal to dry bikin muka cukup lembabðŸ˜Kandungan marine collagen yang bagus banget untuk meregenerasi kulit dan kandungan lainnya buat memperbaiki skin barrierðŸ¥°Dan ada sensasi cooling nya pas dipakeðŸ˜",Asli
Rin06,30 - 34,"Combination, Medium Light, Neutral",3 months - 6 months,Female Daily Studio,5,Ya,"Moisturizer ter the best sampai saat ini, ngebetulin skinbarier yang rusak di muka aku, cocok banget, karena mengandung cantela dan bikin kulit jadi tenang, muka aku jadi lebih lembab dan kenyal, texturenya white gel yang pakai dikit aja udah bisa keseluruh muka",Asli
izzasalsabila,19 - 24,"Normal, Medium Dark, Warm",3 months - 6 months,Shopee,5,Ya,"udahh cocok bangett pake moist inii, bikin muka ga gampang ngamukk sama skin barrier jadi bagus gituu, cuma harga nya mahal banget pusingg, tapi mau gamau harus tetep repurchase karna gamau gonta ganti lagi saking udahhh sering pake iniii",Asli
AgnesFu01,19 - 24,"Combination, Medium Light, Cool",6 months - 1 year,Shopee,5,Ya,"Produk ini bener cocok buat orang yang mukanya kering karena beneran bisa moisturize jadi muka terasa lembab dan ga bikin kulit ketarik. Produk terutama cocok buat yang muka nya mudah merah. Aku sendiri muka merah dan kering beneran cocok pakai produk ini, begitu mukanya yang tadi kering habis pake produk ini jadi lembab dan nyaman banget. Moisturize ini juga ga bikin kulit lengket",Asli
lazylatte,19 - 24,"Dry, Light, Cool",More than 1 year,AEON,5,Ya,"pake moisturizer ini awalnya karena dikasih temen, eh ternyata cocok. pas abis, cobain moisturizer yang lain kok malah break out. akhirnya balik lagi ke moisturizer ini. baru pake 2 minggu hasilnya udah keliatan, merah2 dan skin barrier aku udah back to normal. 10/10 udah repurchase sampe botol gede",Asli
